number;variety;type
1;White Blend;White
2;Portuguese Red;Red
3;Pinot Gris;White
4;Riesling;White
5;Pinot Noir;Red
6;Tempranillo-Merlot;Red
7;Frappato;Red
8;Gewürztraminer;White
9;Cabernet Sauvignon;Red
10;Nerello Mascalese;Red
11;Chardonnay;White
12;Malbec;Red
13;Tempranillo Blend;Red
14;Meritage;Both
15;Red Blend;Red
16;Merlot;Red
17;Nero d'Avola;Red
18;Chenin Blanc;White
19;Gamay;Red
20;Sauvignon Blanc;White
21;Viognier-Chardonnay;White
22;Primitivo;Red
23;Catarratto;White
24;Inzolia;White
25;Petit Verdot;Red
26;Monica;Red
27;Bordeaux-style White Blend;White
28;Grillo;White
29;Sangiovese;Red
30;Cabernet Franc;Red
31;Champagne Blend;White
32;Bordeaux-style Red Blend;Red
33;Aglianico;Red
34;Petite Sirah;Red
35;Touriga Nacional;Red
36;Carmenère;Red
37;Albariño;White
38;Petit Manseng;White
39;Rosé;Rosé
40;Zinfandel;Red
41;Vernaccia;White
42;Rosato;Rosé
43;Grüner Veltliner;White
44;Viognier;White
45;Vermentino;White
46;Grenache Blanc;White
47;Syrah;Red
48;Nebbiolo;Red
49;Shiraz-Cabernet Sauvignon;Red
50;Pinot Blanc;White
51;Alsace white blend;White
52;Barbera;Red
53;Rhône-style Red Blend;Red
54;Portuguese White;White
55;Graciano;Red
56;Tannat-Cabernet;Red
57;Sauvignon;White
58;Sangiovese Grosso;Red
59;Torrontés;White
60;Prugnolo Gentile;Red
61;G-S-M;Red
62;Verdejo;White
63;Fumé Blanc;White
64;Furmint;White
65;Pinot Bianco;White
66;Bonarda;Red
67;Shiraz;Red
68;Montepulciano;Red
69;Moscato;White
70;Grenache;Red
71;Ugni Blanc-Colombard;White
72;Syrah-Viognier;Red
73;Blaufränkisch;Red
74;Friulano;White
75;Assyrtico;White
76;Carignan-Grenache;Red
77;Sagrantino;Red
78;Savagnin;White
79;Cabernet Sauvignon-Syrah;Red
80;Prosecco;White
81;Vignoles;White
82;Sparkling Blend;White
83;Muscat;White
84;Muscadelle;White
85;Shiraz-Viognier;Red
86;Garganega;White
87;Pinot Grigio;White
88;Tempranillo;Red
89;Zierfandler;White
90;Cortese;White
91;Mencía;Red
92;Zweigelt;Red
93;Melon;White
94;Rhône-style White Blend;White
95;Vidal;White
96;Cannonau;Red
97;Verdelho;White
98;Marsanne;White
99;Scheurebe;White
100;Kerner;White
101;Syrah-Grenache;Red
102;Dolcetto;Red
103;Vilana;White
104;Glera;White
105;Viura;White
106;Garnacha Tintorera;Red
107;Pinot Nero;Red
108;Roter Veltliner;Red
109;Pinotage;Red
110;Sémillon;White
111;Pinot Noir-Gamay;Red
112;Antão Vaz;White
113;Cabernet Sauvignon-Carmenère;Red
114;Verdejo-Viura;White
115;Verduzzo;White
116;Verdicchio;White
117;Silvaner;White
118;Colombard;White
119;Carricante;White
120;Sylvaner;White
121;Fiano;White
122;Früburgunder;Red
123;Sousão;Red
124;Roussanne;White
125;Avesso;White
126;Cinsault;Red
127;Chinuri;White
128;Tinta Miúda;Red
129;Muscat Blanc à Petits Grains;White
130;Portuguese Sparkling;White
131;Monastrell;Red
132;Xarel-lo;White
133;Greco;White
134;Trebbiano;White
135;Corvina, Rondinella, Molinara;Red
136;Port;Red
137;Chenin Blanc-Chardonnay;White
138;Insolia;White
139;Merlot-Malbec;Red
140;Ribolla Gialla;White
141;Cabernet Sauvignon-Merlot;Red
142;Duras;Red
143;Weissburgunder;White
144;Roditis;White
145;Traminer;White
146;Papaskarasi;Red
147;Tannat-Syrah;Red
148;Marsanne-Roussanne;White
149;Charbono;Red
150;Merlot-Argaman;Red
151;Prié Blanc;White
152;Sherry;White
153;Provence red blend;Red
154;Tannat;Red
155;Zibibbo;White
156;Falanghina;White
157;Garnacha;Red
158;Negroamaro;Red
159;Mourvèdre;Red
160;Syrah-Cabernet;Red
161;Müller-Thurgau;White
162;Pinot Meunier;Red
163;Cabernet Sauvignon-Sangiovese;Red
164;Austrian Red Blend;Red
165;Teroldego;Red
166;Pansa Blanca;White
167;Muskat Ottonel;White
168;Sauvignon Blanc-Semillon;White
169;Claret;Red
170;Semillon-Sauvignon Blanc;White
171;Bical;White
172;Moscatel;Red
173;Rosado;Rosé
174;Viura-Chardonnay;White
175;Baga;Red
176;Malvasia Bianca;White
177;Gelber Muskateller;White
178;Malbec-Merlot;Red
179;Monastrell-Syrah;Red
180;Malbec-Tannat;Red
181;Malbec-Cabernet Franc;Red
182;Turbiana;White
183;Refosco;Red
184;Alvarinho;White
185;Manzoni;White
186;Aragonês;Red
187;Agiorgitiko;Red
188;Malagousia;White
189;Assyrtiko;White
190;Ruché;Red
191;Welschriesling;White
192;Tinta de Toro;Red
193;Cabernet Moravia;Red
194;Rieslaner;White
195;Traminette;White
196;Chambourcin;Red
197;Nero di Troia;Red
198;Lambrusco di Sorbara;Red
199;Cesanese;Red
200;Feteasca Neagra;Red
201;Lagrein;Red
202;Tinta Fina;Red
203;St. Laurent;Red
204;Marsanne-Viognier;White
205;Cabernet Sauvignon-Shiraz;Red
206;Syrah-Cabernet Sauvignon;Red
207;Gewürztraminer-Riesling;White
208;Pugnitello;Red
209;Cerceal;White
210;Touriga Nacional Blend;Red
211;Austrian white blend;White
212;Tocai;White
213;Tinta Roriz;Red
214;Chardonnay-Viognier;White
215;Fernão Pires;White
216;Cabernet Franc-Cabernet Sauvignon;Red
217;Grenache-Syrah;Red
218;Seyval Blanc;White
219;Muscat Canelli;White
220;Cabernet Merlot;Red
221;Tempranillo-Cabernet Sauvignon;Red
222;Arinto;White
223;Aragonez;Red
224;Merlot-Cabernet Franc;Red
225;Syrah-Petite Sirah;Red
226;Cabernet Blend;Red
227;Maturana;Red
228;Pecorino;White
229;Rotgipfler;White
230;Kinali Yapincak;White
231;Cabernet Franc-Carmenère;Red
232;Magliocco;Red
233;Gamay Noir;Red
234;Sauvignon Gris;White
235;Spätburgunder;Red
236;Picpoul;White
237;Vidal Blanc;White
238;Albanello;White
239;White Port;White
240;Arneis;White
241;Malvasia;Red
242;Plavac Mali;Red
243;Lemberger;Red
244;Saperavi;Red
245;Altesse;White
246;Blanc du Bois;White
247;Provence white blend;White
248;Nosiola;White
249;Dornfelder;Red
250;Roussanne-Viognier;White
251;Ojaleshi;Red
252;Godello;White
253;Mondeuse;Red
254;Perricone;Red
255;Pedro Ximénez;White
256;Auxerrois;White
257;Syrah-Merlot;Red
258;Albana;White
259;Muskat;White
260;Lambrusco;Red
261;Cabernet Sauvignon-Malbec;Red
262;Tinto Fino;Red
263;Malbec-Cabernet Sauvignon;Red
264;Moschofilero;White
265;Grechetto;White
266;Encruzado;White
267;Carignano;Red
268;Cabernet Franc-Merlot;Red
269;Torbato;White
270;Syrah-Petit Verdot;Red
271;Garnacha Blanca;White
272;Pallagrello;Both
273;Morava;Red
274;Syrah-Mourvèdre;Red
275;Aleatico;Red
276;Carcajolu;Red
277;Kisi;White
278;Shiraz-Grenache;Red
279;Palomino;White
280;Grenache-Carignan;Red
281;Nascetta;White
282;Siria;White
283;Malbec-Syrah;Red
284;Asprinio;White
285;Feteasca Regala;White
286;Lambrusco Grasparossa;Red
287;Marselan;Red
288;Tocai Friulano;White
289;Schiava;Red
290;Alfrocheiro;Red
291;Chardonnay-Semillon;White
292;Corvina;Red
293;Norton;White
294;Alicante Bouschet;Red
295;Tokaji;White
296;Moscadello;White
297;Cabernet Sauvignon-Tempranillo;Red
298;Carignan;Red
299;Loureiro-Arinto;White
300;Cabernet-Syrah;Red
301;Sauvignon Blanc-Chardonnay;White
302;Symphony;White
303;Edelzwicker;White
304;Madeira Blend;Red
305;Black Muscat;Red
306;Grenache Noir;Red
307;Durella;White
308;Xinomavro;Red
309;Tinto del Pais;Red
310;Merlot-Cabernet Sauvignon;Red
311;Cercial;White
312;Johannisberg Riesling;White
313;Petite Verdot;Red
314;Passerina;White
315;Valdiguié;Red
316;Colombard-Sauvignon Blanc;White
317;Kangoun;White
318;Loureiro;White
319;Posip;White
320;Uva di Troia;Red
321;Gros and Petit Manseng;White
322;Jacquère;White
323;Kalecik Karasi;Red
324;Karasakiz;Red
325;Mourvèdre-Syrah;Red
326;Negrette;Red
327;Zierfandler-Rotgipfler;White
328;Clairette;White
329;Raboso;Red
330;País;Red
331;Mauzac;White
332;Pinot Auxerrois;White
333;Chenin Blanc-Sauvignon Blanc;White
334;Diamond;Red
335;Marzemino;Red
336;Tinta Barroca;Red
337;Chardonnay-Sauvignon Blanc;White
338;Castelão;Red
339;Trebbiano Spoletino;White
340;Teran;Red
341;Trepat;Red
342;Freisa;Red
343;Neuburger;White
344;Sämling;White
345;Chasselas;White
346;Hárslevelü;White
347;Trincadeira;Red
348;Merlot-Tannat;Red
349;Rkatsiteli;White
350;Melnik;Red
351;Siegerrebe;White
352;Trousseau Gris;White
353;Grenache Blend;White
354;Gros Manseng;White
355;Portuguese Rosé;Rosé
356;Brachetto;Red
357;Mantonico;White
358;Ekigaïna;Red
359;Muskateller;White
360;Aligoté;White
361;Sangiovese Cabernet;Red
362;Touriga Nacional-Cabernet Sauvignon;Red
363;Muscat Blanc;White
364;Argaman;Red
365;Viognier-Roussanne;White
366;Pallagrello Bianco;White
367;Bobal;Red
368;Malvasia Istriana;White
369;Cabernet Sauvignon-Cabernet Franc;Red
370;Baco Noir;Red
371;Veltliner;White
372;Tempranillo-Tannat;Red
373;Morillon;White
374;Touriga Franca;Red
375;Picolit;White
376;Barbera-Nebbiolo;Red
377;Prieto Picudo;Red
378;Gaglioppo;Red
379;Tokay;White
380;Sacy;White
381;Piedirosso;Red
382;Piquepoul Blanc;White
383;Mansois;White
384;Chardonnay-Sauvignon;White
385;Tempranillo-Garnacha;Red
386;Carmenère-Cabernet Sauvignon;Red
387;Chenin Blanc-Viognier;White
388;Susumaniello;Red
389;Vitovska;White
390;Orange Muscat;White
391;Grauburgunder;White
392;Carignane;Red
393;Moscatel Roxo;White
394;Tannat-Merlot;Red
395;Nerello Cappuccio;Red
396;Counoise;Red
397;Macabeo;White
398;Mazuelo;Red
399;Sauvignon-Sémillon;Red
400;Tinta del Pais;Red
401;Vranec;Red
402;Mavrud;Red
403;Cesanese d'Affile;Red
404;Moscato Giallo;White
405;Debit;White
406;Verdil;White
407;Cabernet;Red
408;Verduzzo Friulano;White
409;Treixadura;White
410;Loin de l'Oeil;White
411;Coda di Volpe;White
412;Grenache-Mourvèdre;Red
413;Forcallà;Red
414;Viura-Verdejo;White
415;Bombino Bianco;White
416;Pinot-Chardonnay;White
417;Syrah-Tempranillo;Red
418;Cabernet Sauvignon-Barbera;Red
419;Merlot-Cabernet;Red
420;Muscat d'Alexandrie;White
421;Jaen;Red
422;Tinta del Toro;Red
423;Timorasso;White
424;Pigato;White
425;Sangiovese-Cabernet Sauvignon;Red
426;Shiraz-Cabernet;Red
427;Viognier-Gewürztraminer;White
428;Prunelard;Red
429;Sauvignon Blanc-Chenin Blanc;White
430;Gros Plant;White
431;Malbec-Petit Verdot;Red
432;Colombard-Ugni Blanc;White
433;Grignolino;Red
434;Garnacha-Syrah;Red
435;Rufete;Red
436;Tempranillo-Shiraz;Red
437;Mtsvane;White
438;Chardonnay-Pinot Gris;White
439;Marawi;White
440;Chardonnay-Pinot Blanc;White
441;Mataro;Red
442;Tinta Cao;Red
443;Blauer Portugieser;Red
444;Ugni Blanc;White
445;Groppello;Red
446;Semillon-Chardonnay;White
447;Irsai Oliver;White
448;Alvarelhão;Red
449;Poulsard;Red
450;Grenache-Shiraz;Red
451;Baga-Touriga Nacional;Red
452;Carineña;Red
453;Pignoletto;White
454;Muscatel;White
455;Mavrodaphne;Red
456;Ciliegiolo;Red
457;Viognier-Grenache Blanc;White
458;Greco Bianco;White
459;Cabernet Sauvignon-Merlot-Shiraz;Red
460;Sciaccerellu;Red
461;Zelen;White
462;Alicante;Red
463;Emir;White
464;Rosenmuskateller;Red
465;Tsolikouri;White
466;Narince;White
467;Malbec-Cabernet;Red
468;Touriga;Red
469;Grecanico;White
470;Carmenère-Syrah;Red
471;Madeleine Angevine;White
472;Mavroudi;Red
473;Pinot Blanc-Pinot Noir;Both
474;Muscat Hamburg;Red
475;Tempranillo Blanco;White
476;Casavecchia;Red
477;Pinot Gris-Gewürztraminer;White
478;White Riesling;White
479;Tinto Velasco;White
480;Hondarrabi Zuri;White
481;Nuragus;White
482;Xynisteri;White
483;Kadarka;Red
484;Sauvignon Musqué;White
485;Roussanne-Marsanne;White
486;Incrocio Manzoni;White
487;Terrantez;White
488;Bual;White
489;Okuzgozu;Red
490;Rivaner;White
491;Doña Blanca;White
492;Graševina;White
493;Lambrusco Salamino;Red
494;Sangiovese-Syrah;Red
495;Tannat-Cabernet Franc;Red
496;Thrapsathiri;White
497;Fer Servadou;Red
498;Mission;Red
499;Kekfrankos;Red
500;Cococciola;White
501;Blauburgunder;Red
502;Marquette;Red
503;Romorantin;White
